1,1
2,2
3,7
4,6
5,8
6,13
7,10
8,11
9,12
10,15
11,16
12,17
13,19
14,18
16,21
18,20
19,22
20,23
21,24
22,26
23,25
24,28
25,30
26,38
27,29
29,31
30,32
31,33
32,36
33,37
34,39
35,40
36,41
37,43
38,45
40,106
41,42
42,49
44,47
45,48
46,51
48,50
49,52
50,53
51,54
52,55
53,58
54,59
55,56
56,62
57,61
58,63
59,64
60,65
61,78
62,69
63,71
64,68
65,73
66,66
68,79
69,72
70,67
72,81
73,90
74,84
75,82
76,88
77,86
78,89
79,87
80,160
81,98
82,95
83,99
84,94
85,101
87,93
88,91
91,105
92,110
93,104
94,116
95,112
96,108
97,307
98,113
99,123
100,120
101,118
102,117
104,122
105,119
106,121
108,126
109,124
110,127
112,130
113,138
114,129
115,132
116,131
117,128
118,141
119,134
120,133
121,140
122,136
123,144
124,148
125,147
126,153
129,156
130,152
131,158
133,1011
134,154
135,163
138,169
139,177
140,170
141,171
142,172
143,175
144,178
145,176
146,183
147,179
148,180
149,182
150,197
151,199
152,187
153,201
154,203
155,196
156,200
157,190
158,202
159,198
160,194
161,193
162,191
163,189
164,188
165,195
166,204
167,206
168,207
169,208
170,212
171,209
172,205
173,214
175,224
176,223
177,233
178,221
179,220
180,225
181,227
184,213
185,222
186,228
187,226
190,235
193,240
194,243
196,242
197,245
200,244
201,250
202,248
203,251
204,984
207,263
208,262
209,264
210,255
211,254
213,257
214,256
215,266
216,265
217,267
218,268
219,283
220,271
221,272
222,276
223,273
224,277
225,274
226,278
227,279
228,280
230,291
231,286
232,284
234,296
235,1003
236,297
237,295
238,298
240,299
241,309
246,310
247,313
248,312
249,316
250,319
251,311
252,324
254,322
256,348
257,325
258,522
259,333
260,339
262,343
263,347
264,1074
265,308
266,346
267,342
268,341
269,349
270,350
271,351
272,352
274,358
275,1158
277,354
278,359
279,357
280,364
281,368
282,377
284,373
285,378
286,371
287,387
288,370
289,367
290,389
291,390
294,388
295,393
296,382
297,397
298,395
299,380
300,399
301,398
302,782
303,1137
304,403
306,362
307,408
308,405
309,412
311,413
312,414
314,415
317,418
318,429
320,419
321,423
322,422
324,426
325,430
328,807
331,436
332,432
333,437
334,439
335,438
336,440
337,441
338,444
339,445
340,442
341,452
342,456
343,451
344,449
345,462
346,461
348,460
349,472
350,469
351,468
354,471
355,473
356,475
358,479
359,474
361,488
362,481
363,486
364,483
365,482
366,477
367,492
368,490
369,491
370,489
371,493
372,495
373,494
374,496
375,526
376,497
378,499
379,500
381,841
382,501
383,505
384,509
386,530
387,533
388,510
389,531
390,517
391,532
394,513
395,511
396,529
397,537
398,536
399,538
400,539
401,540
402,541
403,542
404,585
405,544
406,558
407,374
408,556
410,552
411,616
412,559
414,549
415,553
416,551
417,554
419,561
420,563
422,518
423,578
425,548
426,582
427,586
428,587
429,583
431,590
433,591
434,589
435,593
436,594
437,1025
440,598
441,600
443,602
445,606
446,605
447,608
448,609
449,611
451,612
452,610
453,614
454,618
455,619
456,1059
457,620
458,626
459,624
460,623
461,622
462,630
464,631
465,635
466,636
467,629
469,628
470,634
471,637
472,639
473,640
475,645
477,643
478,648
479,656
480,657
481,660
483,663
484,662
486,666
489,668
491,686
492,565
493,694
494,707
495,697
496,698
497,671
498,670
499,672
500,683
501,679
502,684
503,690
504,650
506,693
507,392
508,701
509,703
510,577
513,705
514,721
515,715
516,568
517,711
520,708
521,717
522,726
523,722
524,724
525,725
526,720
527,730
528,727
529,733
530,734
531,735
532,736
533,737
534,738
535,739
536,740
537,742
538,741
539,743
540,744
541,745
542,748
543,747
544,746
545,749
546,750
547,751
550,759
551,763
552,762
553,764
554,767
555,772
556,769
557,770
558,771
559,775
560,777
561,776
562,778
563,779
564,780
565,783
566,781
567,785
568,784
569,786
571,789
572,787
573,791
574,792
575,793
576,797
579,799
580,800
581,801
582,802
583,806
584,810
585,809
586,811
587,813
588,812
589,814
590,815
591,816
592,820
593,818
594,819
595,821
596,822
597,823
598,824
599,829
600,831
601,832
602,834
603,837
604,839
605,842
606,840
607,844
608,843
609,838
610,845
611,847
612,848
613,849
614,846
615,851
616,852
618,854
621,860
622,855
624,864
626,865
627,863
628,866
629,867
630,869
631,868
632,870
633,871
634,873
636,874
637,885
638,886
639,876
640,880
641,893
642,887
644,890
645,892
646,889
647,894
648,877
650,907
653,909
654,908
655,910
656,913
657,911
658,914
659,912
662,925
663,918
664,921
665,922
666,923
668,930
669,933
670,1044
671,986
672,987
673,989
674,990
675,993
676,991
677,988
679,1000
680,994
681,999
682,997
683,998
684,1008
685,1005
686,1006
687,1009
688,1007
692,1019
693,1017
694,1015
695,1014
696,1073
698,1069
699,1037
700,1079
701,1080
703,1047
704,1020
705,1021
706,1027
707,1030
708,1028
709,1034
711,1040
717,1031
718,1045
719,1038
720,1036
721,1032
722,1043
723,1024
724,1048
725,1050
726,1051
727,1062
728,1052
729,1057
730,1054
731,1058
732,1060
733,1061
735,1070
737,1068
738,1065
739,1066
740,935
741,936
742,937
743,938
745,941
746,942
747,943
748,944
749,946
750,945
751,947
755,956
756,960
758,958
759,962
760,959
763,949
764,948
765,965
766,966
767,970
768,972
769,971
771,974
772,973
774,975
775,976
776,979
777,978
778,980
779,981
780,985
781,241
